rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
86,Imagine Dragons,Bones,Kid Ina Korner / Interscope,39,83,119,1176879
87,"Polimá Westcoast, Pailita",ULTRA SOLO,Sony Music Entertainment Chile S.A,41,94,74,1170300
88,Benson Boone,In The Stars,Warner Records,49,87,70,1158759
89,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,96,399,1138919
90,Charlie Puth,Light Switch,Atlantic Records,11,89,169,1138323
91,GAYLE,abcdefu,Atlantic/Arthouse Records,1,90,236,1137377
92,Harry Styles,Matilda,Columbia,5,88,49,1136627
93,WILLOW,Wait a Minute!,Roc Nation W Smith P&D,25,86,119,1134684
94,"Coldplay, BTS",My Universe,Parlophone UK,3,91,287,1133107
95,BTS,Run BTS,BIGHIT MUSIC,6,84,28,1126288
96,"Tiësto, Ava Max",The Motto,Atlantic Records,20,92,242,1119569
97,"Imanbek, BYOR",Belly Dancer,Musical Freedom,72,93,42,1118869
98,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,95,95,43,1110148
99,Lasso,Ojos Marrones,Universal Music Mexico,95,97,9,1108755
100,Eminem,Without Me,Aftermath,29,101,283,1090811
101,Panic! At The Disco,House of Memories,Decaydance/Fueled By Ramen,58,98,77,1088197
102,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,3,105,441,1084040
103,Musical Youth,Pass The Dutchie,Geffen,81,99,36,1079063
104,Drake,Sticky,OVO,9,100,21,1076243
105,The Walters,I Love You So,Warner Records,18,102,270,1074659
106,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,5,106,436,1070432
107,Danny Ocean,Fuera del mercado,Atlantic Records,21,108,115,1069872
108,"Bad Bunny, The Marías",Otro Atardecer,Rimas Entertainment LLC,20,109,63,1068749
109,One Direction,Night Changes,Syco Music,102,104,43,1067310
110,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,19,107,1534,1060092
111,Imagine Dragons,Believer,Kid Ina Korner / Interscope,15,110,1977,1060029
112,The Police,Every Breath You Take,Polydor Records,102,111,442,1051305
113,Mr.Kitty,After Dark,Negative Gain Productions,108,115,79,1045197
114,Dove Cameron,Boyfriend,Disruptor Records/Columbia,11,113,147,1043301
115,"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),Columbia,19,116,42,1042647
116,Coldplay,Yellow,Parlophone UK,55,112,557,1041808
117,J. Cole,No Role Modelz,Roc Nation Records LLC,69,123,367,1038801
118,"Jax Jones, MNEK",Where Did You Go? (feat. MNEK),Polydor Records,91,117,83,1029085
119,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,114,1274,1021093
120,Doja Cat,Need to Know,Kemosabe Records/RCA Records,6,118,392,1013968
121,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,120,641,1010767
122,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,122,130,6,1010473
123,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),110,119,38,1002298
124,Lady Gaga,Hold My Hand,Interscope Records,103,121,42,989432
125,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,300 Entertainment,13,125,119,987595
126,Dua Lipa,Don't Start Now,Warner Records,2,129,978,983415
127,Jaymes Young,Infinity,Atlantic Records,10,122,253,982480
128,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,63,124,225,980666
129,Bad Bunny,Enséñame a Bailar,Rimas Entertainment LLC,19,127,63,977807
130,BTS,Dynamite,BIGHIT MUSIC,1,126,684,975825
131,Harry Styles,Daylight,Columbia,7,131,49,964974
132,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,134,469,960047
133,Queen,Bohemian Rhapsody - Remastered 2011,Hollywood Records,10,137,1374,959320
134,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,138,476,956739
135,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,56,128,99,954799
136,Guns N' Roses,Sweet Child O' Mine,Geffen,116,173,30,952447
137,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,8,136,38,948581
138,Bad Bunny,Un Verano Sin Ti,Rimas Entertainment LLC,16,133,63,946549
139,Taylor Swift,Blank Space,"Big Machine Records, LLC",104,135,252,946151
140,Joji,SLOW DANCING IN THE DARK,88rising Music/Warner Records,82,132,251,942757
141,Zion & Lennox,Yo Voy (feat. Daddy Yankee),Baby Records Inc,52,145,138,941207
142,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,139,1358,939848
143,OneRepublic,Counting Stars,Mosley / Interscope,101,141,486,938750
144,Nirvana,Smells Like Teen Spirit,Geffen,92,150,526,938254
145,Eminem,The Real Slim Shady,Interscope,36,144,401,936784
146,"Marshmello, Khalid",Numb,Joytime Collective/RCA Records,93,140,28,934844
147,Vance Joy,Riptide,Atlantic Records,114,153,553,929861
148,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Republic Records,8,147,105,928303
149,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,102,143,144,928017
150,The Killers,Mr. Brightside,Island Records,73,142,761,926803
151,Ryan Castro,Jordan,King Records,27,151,133,923972
152,Post Malone,Circles,Republic Records,1,146,1035,923653
153,Måneskin,Beggin',RCA Records Label,1,149,402,923524
154,Yung Gravy,Betty (Get Money),Republic Records,154,190,2,918083
155,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,155,162,3,915258
156,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,164,616,901960
157,"MC Tairon, Mc Vitin Da Igrejinha, Dj Win",Baile no Morro,Life Song Records,110,159,8,897913
158,"Shae Gill, Ali Sethi",Pasoori,Giraffe Pakistan,89,148,74,897587
159,Måneskin,SUPERMODEL,Epic,84,152,56,895355
160,The Weeknd,The Hills,Universal Republic Records,24,158,316,894024
161,Ed Sheeran,Shape of You,Atlantic Records UK,1,160,1984,893800
162,"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,Parlophone UK,94,163,62,893046
163,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,16,154,508,887698
164,Tate McRae,she's all i wanna be,RCA Records Label,28,161,154,883711
165,Conan Gray,Heather,Republic Records,11,155,696,879441
166,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",Aftermath,27,166,571,878902
167,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,2,167,413,878823
168,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",6,156,251,878032
169,The Neighbourhood,Softcore,Columbia,31,169,183,874188
170,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",110,172,265,870304
171,Kendrick Lamar,N95,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,1,165,56,866037
172,Bruno Mars,Locked out of Heaven,Atlantic Records,102,157,195,864020
173,Steve Lacy,Bad Habit,L-M Records/RCA Records,173,-1,1,863496
174,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,168,396,862389
175,"L7NNON, DJ Biel do Furduncinho, Bianca",Ai Preto,Papatunes,139,191,7,862062
176,Ed Sheeran,Perfect,Atlantic Records UK,3,177,1936,861408
177,Steve Lacy,Dark Red,Three Quarter,58,170,327,857969
178,"Tiësto, Charli XCX",Hot In It,Atlantic Records,71,175,7,855269
179,"Drake, WizKid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,5,176,917,854943
180,"Sleepy Hallow, 347aidan",Die Young (feat. 347aidan),Winners Circle/RCA Records,87,171,43,850622
181,The Goo Goo Dolls,Iris,Warner Records,111,179,67,844106
182,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,114,181,308,843369
183,The Kid LAROI,Thousand Miles,Columbia,13,180,76,836133
184,Shawn Mendes,There's Nothing Holdin' Me Back,Island Records,5,178,487,834906
185,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,39,174,200,834499
186,Harry Styles,Satellite,Columbia,11,183,49,827664
187,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",WEA Latina/DALE PLAY Records,19,-1,130,827250
188,"Pharrell Williams, 21 Savage, Tyler, The Creator",Cash In Cash Out,Columbia,41,196,24,821283
189,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,187,187,5,820908
190,Harry Styles,Little Freak,Columbia,6,186,48,818885
191,Bad Bunny,Agosto,Rimas Entertainment LLC,24,192,60,817511
192,Avicii,Wake Me Up,Universal Music AB,4,185,561,817215
193,Avicii,The Nights,Universal Music AB,24,189,473,816843
194,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,24,184,170,815830
195,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),WEA Latina,128,-1,27,811412
196,"Eminem, Nate Dogg",'Till I Collapse,Aftermath,63,188,368,811069
197,Cigarettes After Sex,Apocalypse,PTKF,197,-1,2,809714
198,Imagine Dragons,Sharks,Kid Ina Korner / Interscope,86,182,14,808714
199,Metallica,Enter Sandman (Remastered),Blackened Recordings,195,195,2,807879
200,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,14,197,360,807801
